,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-04-04,4,"ゲストさん"" ","
","
","
","
","
","
",量が多く、お得だと思います。パッケージが写真と違っていたので、違う商品が届いたと思いましたが、P&amp;Gに確認したところ、問題ないことが判明しました。
2018-03-31,1,"ゲストさん"" ","
","
","
","
","
","
","時間指定をしましたが、時間指定なしの対応でした。　

発送までも時間が必要なようで待たされます。"
2018-03-26,5,"""Grs MaMariKoさん"" ",https://review.rakuten.co.jp/my/NDVlYjA2ZjY0NWE0MWM_/1.0.0.1/,50代 女性,"
","
","
",お買い得,"詰替 超特大 2Lが、お買い得ナイス( v^-゜)♪　

また宜しくお願いします"
2018-03-21,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","届くのは少し遅いですが…　

とにかく安い！！！！　

1万以上15%offクーポンを使えば　

コ◯ト◯よりも安くなって、　

重い荷物も運ばなくて楽チン&amp;#9833;　

また利用します"
2018-03-18,5,"ゲストさん"" ","
","
","
","
","
","
","家族5人が使用するのでこのサイズはありがたいです。　

値段も1個分よりだいぶ安いと思います。　

またリピします。"
2018-03-10,5,"""フツー．さん"" ",https://review.rakuten.co.jp/my/ZjA1ZTliZmNmZTgzMzAxZg__/1.0.0.1/,30代 男性,"
","
","
",ようやく購入,前回購入できなかったのでようやく購入できました。そうそうなくならないと思いますが、また機会があれば利用したいと思います。
2018-03-05,5,"""natu0999さん"" ",https://review.rakuten.co.jp/my/ODY5N2ViMmIxNTk1MjgxNg__/1.0.0.1/,30代 男性,実用品・普段使い,家族へ,リピート,楽チン,"コンディショナーと一緒に購入。　

沢山入っているので、しばらく買わなくて良い。重たい荷物も運ばなくて良いし、リピートです。"
2018-02-28,5,"""Dママ1205さん"" ",https://review.rakuten.co.jp/my/MDMxNGIwMjU5OTI1NTUxZQ__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,"
","
",大容量で当分買いに行かずにすむので助かります！
2018-02-28,5,"""かずパパ0221さん"" ",https://review.rakuten.co.jp/my/NjUzNjg3ZTczYjQ2/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,リピート,もつれやすいので,娘の髪は長くもつれやすいのでずっと使っています。
2018-02-26,5,"""まい4817さん"" ",https://review.rakuten.co.jp/my/YTFiY2FkNGUwZmYxMjkxOQ__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,リピート,でかい！,"届いてデカさと重さにビックリしましたw　

すぐなくなるので店では取り扱ってないこの大容量はすごく助かります！"
